epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.60929,2.33094,9.33312,1.54584,0.98103,1,0.995,0.29817,1.98989,7.13529,1.46201,0.00022,0.00022,0.00022
2,5.02442,2.01558,3.78885,1.3426,0.03459,1,0.04854,0.02696,1.35111,62.8462,1.14844,0.000450892,0.000450892,0.000450892
3,7.38079,1.83893,2.48028,1.27105,0.01926,1,0.0201,0.01264,1.65275,63.6452,1.23047,0.00067228,0.00067228,0.00067228
4,9.73842,1.85793,1.75358,1.23808,0.02291,1,0.02369,0.01317,1.71662,71.9191,1.2564,0.000884164,0.000884164,0.000884164
5,12.0988,1.73054,1.38317,1.21877,0.0162,1,0.01631,0.00861,1.82872,182.671,1.31007,0.00108654,0.00108654,0.00108654
6,14.4622,1.71121,1.24842,1.20082,0.92615,1,0.995,0.62179,1.39043,2.13619,1.20733,0.00127942,0.00127942,0.00127942
7,16.8813,1.726,1.14924,1.22059,0.00333,1,0.995,0.54704,1.70353,2.9214,1.20062,0.00146279,0.00146279,0.00146279
8,19.2341,1.78907,1.2186,1.25453,0.68123,0.5,0.66167,0.39667,1.87119,2.95413,1.29179,0.00163666,0.00163666,0.00163666
9,21.5208,1.77501,1.36923,1.243,0.75276,0.5,0.695,0.46654,1.52001,1.96339,1.28052,0.0016832,0.0016832,0.0016832
10,23.824,1.63284,1.18148,1.15978,0.00333,1,0.62,0.372,1.69612,2.55557,1.25477,0.0016436,0.0016436,0.0016436
11,26.1016,1.61431,1.01129,1.14494,0.97725,1,0.995,0.62331,1.22793,0.80776,1.15239,0.001604,0.001604,0.001604
12,28.4811,1.62768,0.89157,1.15952,0.97329,1,0.995,0.69637,1.34135,0.67949,1.21395,0.0015644,0.0015644,0.0015644
13,30.8954,1.58642,0.92647,1.17676,0.97309,1,0.995,0.64684,1.42189,0.6619,1.22731,0.0015248,0.0015248,0.0015248
14,33.2253,1.53685,0.90685,1.12502,0.9744,1,0.995,0.597,1.49051,0.73325,1.15031,0.0014852,0.0014852,0.0014852
15,35.4958,1.51745,0.80836,1.10759,0.96958,1,0.995,0.64687,1.51051,0.62073,1.12549,0.0014456,0.0014456,0.0014456
16,37.795,1.51154,0.78839,1.14817,0.97654,1,0.995,0.6225,1.62597,0.70426,1.23096,0.001406,0.001406,0.001406
17,40.0734,1.63846,0.80086,1.17655,0.97797,1,0.995,0.52589,1.68625,0.70834,1.20403,0.0013664,0.0013664,0.0013664
18,42.3372,1.60914,0.78717,1.14831,0.97699,1,0.995,0.5487,1.72627,0.64823,1.25202,0.0013268,0.0013268,0.0013268
19,44.6967,1.59386,0.82388,1.1363,0.97797,1,0.995,0.64969,1.33392,0.59217,1.11044,0.0012872,0.0012872,0.0012872
