epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.15667,1.58535,366.031,0.75763,0,0,0,0,2.35192,224.875,0.89833,0.00024,0.00024,0.00024
2,11.7667,2.47124,380.728,1.02901,0,0,0,0,2.89518,2256.94,1.325,0.0004901,0.0004901,0.0004901
3,14.5733,2.20493,81.3397,1.1909,0,0,0,0,1.9633,3416.44,1.06627,0.000729904,0.000729904,0.000729904
4,17.2361,1.58889,29.3398,0.73788,0,0,0,0,1.15249,56.5152,0.86832,0.000959412,0.000959412,0.000959412
5,19.8402,2.42756,14.4322,1.05018,0,0,0,0,7e-05,1.0625,0.00051,0.00117862,0.00117862,0.00117862
6,22.516,2.55393,6.90531,1.22567,0,0,0,0,2.04746,1478.96,1.48184,0.00138754,0.00138754,0.00138754
7,25.1621,2.13467,5.14758,1.04103,0,0,0,0,1.58962,15584,3.13908,0.00158616,0.00158616,0.00158616
8,27.8069,1.88165,5.30255,0.84286,0,0,0,0,0,inf,0,0.0017228,0.0017228,0.0017228
9,30.4184,1.82739,3.58143,0.86378,0,0,0,0,0,nan,0,0.0016832,0.0016832,0.0016832
10,33.0204,1.86539,3.20603,0.81865,0,0,0,0,nan,nan,nan,0.0016436,0.0016436,0.0016436
11,35.6109,1.67632,2.61029,0.70245,0,0,0,0,1.46305,335.75,3.26525,0.001604,0.001604,0.001604
12,38.1934,2.04752,4.23421,1.02899,0,0,0,0,3.16896,12440,1.12325,0.0015644,0.0015644,0.0015644
13,40.847,2.2786,2.60248,1.00194,0.0006,1,0.00513,0.00284,2.36666,289.741,1.2877,0.0015248,0.0015248,0.0015248
14,43.5016,2.16439,2.8184,1.06042,0.0006,1,0.00513,0.00284,nan,nan,nan,0.0014852,0.0014852,0.0014852
15,46.1461,2.6446,2.80107,1.24624,0.0006,1,0.00513,0.00284,nan,nan,nan,0.0014456,0.0014456,0.0014456
16,48.8219,1.93311,1.68812,0.91542,0.93667,1,0.995,0.54725,1.30287,1.10731,0.95057,0.001406,0.001406,0.001406
17,51.4141,1.11847,1.06977,0.451,0.95438,1,0.995,0.597,1.42543,0.78137,0.91885,0.0013664,0.0013664,0.0013664
18,54.418,2.2333,1.65561,1.06206,0.96857,1,0.995,0.796,1.35919,0.94909,0.92028,0.0013268,0.0013268,0.0013268
19,57.2758,1.91465,1.5538,0.88479,0.96701,1,0.995,0.6965,1.24442,1.23729,0.94896,0.0012872,0.0012872,0.0012872
20,60.0888,1.88541,1.43177,0.85422,0.8369,1,0.995,0.24875,2.33765,1.97539,1.08407,0.0012476,0.0012476,0.0012476
21,62.9406,2.01875,1.71567,0.85725,0.00794,1,0.02163,0.00216,2.67331,3.50781,1.32124,0.001208,0.001208,0.001208
22,65.7985,1.94281,1.84233,0.98007,0.92453,1,0.995,0.8955,1.13608,1.67978,0.98964,0.0011684,0.0011684,0.0011684
23,68.6984,2.21717,1.86031,0.93582,0.81572,1,0.995,0.597,1.67698,2.88685,1.02025,0.0011288,0.0011288,0.0011288
24,71.5525,2.07211,1.98073,1.03108,0.43498,1,0.995,0.6965,1.23549,10.2097,0.92567,0.0010892,0.0010892,0.0010892
25,74.3396,0.9479,0.87472,0.43487,0.85276,1,0.995,0.6965,1.53129,1.10698,0.94715,0.0010496,0.0010496,0.0010496
26,77.1593,2.0016,1.59935,0.93781,0.77281,1,0.995,0.597,1.73394,1.41324,1.04546,0.00101,0.00101,0.00101
