epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.9042,2.33094,9.33312,1.54584,0.98103,1,0.995,0.29817,1.98989,7.13529,1.46201,0.00022,0.00022,0.00022
2,5.48207,2.01256,3.78514,1.33903,0.0307,1,0.03902,0.02774,1.21303,66.9399,1.06942,0.00043723,0.00043723,0.00043723
3,7.89383,1.82199,2.4804,1.26018,0.04129,1,0.04422,0.02882,1.49833,20.1714,1.2228,0.0006307,0.0006307,0.0006307
4,10.264,1.82,1.84215,1.237,0.0282,1,0.02884,0.01388,1.66722,29.9057,1.28485,0.00080041,0.00080041,0.00080041
5,12.7102,1.66377,1.38188,1.20676,0.01938,1,0.01951,0.01034,1.85791,67.1927,1.43163,0.00094636,0.00094636,0.00094636
6,15.1591,1.6333,1.15267,1.15884,0.96087,1,0.995,0.597,1.53716,2.45138,1.28283,0.00106855,0.00106855,0.00106855
7,17.6013,1.70012,1.03272,1.21028,0.97278,1,0.995,0.52229,1.83866,1.31388,1.41284,0.00116698,0.00116698,0.00116698
8,19.9415,1.80422,1.08628,1.26882,0.96622,1,0.995,0.597,1.53851,0.86499,1.20331,0.00124165,0.00124165,0.00124165
9,22.3769,1.69737,1.0018,1.22253,0.0645,1,0.07107,0.05158,1.08153,5.79867,1.04271,0.001208,0.001208,0.001208
10,24.7124,1.58397,0.91009,1.13046,0.98301,1,0.995,0.69609,1.28915,0.68788,1.20476,0.001109,0.001109,0.001109
11,29.0143,1.63853,0.93981,1.2148,0.96825,1,0.995,0.72131,1.17755,0.70022,1.05968,0.00101,0.00101,0.00101
12,31.5462,1.62649,0.89469,1.25151,0.97489,1,0.995,0.6965,1.30811,0.59977,1.10468,0.000911,0.000911,0.000911
13,33.8481,1.52995,0.78613,1.21946,0.06821,0.5,0.03971,0.0278,1.32041,9.0665,1.21923,0.000812,0.000812,0.000812
14,36.2124,1.46023,0.74527,1.16455,0.16414,1,0.199,0.10458,1.76658,6.4687,1.19672,0.000713,0.000713,0.000713
15,38.5773,1.44837,0.72632,1.18847,0.97714,1,0.995,0.5487,1.54176,0.60704,1.15188,0.000614,0.000614,0.000614
16,40.9184,1.44623,0.7341,1.18014,0.97561,1,0.995,0.57376,1.42349,0.5657,1.12062,0.000515,0.000515,0.000515
17,43.2915,1.44067,0.7307,1.15805,0.97778,1,0.995,0.44856,1.8681,0.64133,1.25848,0.000416,0.000416,0.000416
18,45.6796,1.40182,0.72264,1.14821,0.9767,1,0.995,0.47367,1.81931,0.60426,1.22412,0.000317,0.000317,0.000317
19,48.0171,1.37305,0.72128,1.17771,0.97638,1,0.995,0.54764,1.73703,0.57857,1.16807,0.000218,0.000218,0.000218
20,50.3223,1.346,0.70398,1.1421,0.9762,1,0.995,0.597,1.64881,0.59131,1.14268,0.000119,0.000119,0.000119
