epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.37476,2.14478,9.79692,1.62672,0.00222,0.66667,0.00215,0.00108,1.44448,12.7334,1.35503,0.00016,0.00016,0.00016
2,10.6392,1.76759,4.41173,1.30853,1,0.82124,0.86409,0.50459,1.45069,5.84432,1.18011,0.000333268,0.000333268,0.000333268
3,12.9172,1.7716,2.79099,1.26559,0.19735,0.5,0.16057,0.10678,1.34216,7.11923,1.09999,0.000499408,0.000499408,0.000499408
4,15.0142,1.66856,1.85484,1.25096,0.23453,0.66667,0.2143,0.147,1.46716,7.14725,1.1855,0.00065842,0.00065842,0.00065842
5,17.1161,1.72553,1.60505,1.37183,0.07698,0.16667,0.03454,0.0211,1.42413,6.54328,1.15538,0.000810304,0.000810304,0.000810304
6,19.2641,1.61704,1.28368,1.24404,1,0.64751,0.77148,0.48576,1.48066,4.04243,1.19568,0.00095506,0.00095506,0.00095506
7,21.3763,1.44511,1.00309,1.19677,0.08529,0.66667,0.0735,0.05021,1.31263,5.31349,1.11537,0.00109269,0.00109269,0.00109269
8,23.3849,1.50389,0.96085,1.19429,0.03177,0.5,0.03443,0.02331,1.20217,4.06477,1.07432,0.00122319,0.00122319,0.00122319
9,25.4404,1.61124,1.05084,1.21547,0.84856,0.5,0.69124,0.4022,1.39638,1.80031,1.18405,0.00134656,0.00134656,0.00134656
10,27.512,1.50928,0.88194,1.18686,1,0.82224,0.83529,0.56325,1.28438,1.49406,1.09621,0.0014628,0.0014628,0.0014628
11,29.675,1.54068,0.87763,1.25286,0.97155,0.33333,0.34535,0.24756,1.52519,2.6689,1.27441,0.00157192,0.00157192,0.00157192
12,31.7406,1.62137,0.89514,1.26677,0.6633,0.32997,0.57064,0.30148,1.65292,2.00346,1.31963,0.0015644,0.0015644,0.0015644
13,33.7765,1.49728,0.82726,1.19174,0.96686,0.83333,0.92227,0.5072,1.56159,1.32616,1.21136,0.0015248,0.0015248,0.0015248
14,35.8229,1.52537,0.7908,1.16946,0.98759,0.83333,0.92227,0.58002,1.44548,0.86681,1.13012,0.0014852,0.0014852,0.0014852
15,37.8936,1.39715,0.73007,1.13986,0.98582,0.83333,0.97214,0.69493,1.24885,0.77392,1.08615,0.0014456,0.0014456,0.0014456
16,39.9601,1.50561,0.74656,1.15951,0.97661,0.83333,0.87192,0.56003,1.34355,1.02488,1.15876,0.001406,0.001406,0.001406
17,41.9825,1.53374,0.77333,1.17211,0.9867,0.83333,0.83668,0.62894,1.15917,1.11773,1.04325,0.0013664,0.0013664,0.0013664
18,44.0566,1.33448,0.71592,1.10379,0.98725,0.83333,0.84852,0.6321,1.15431,0.93943,1.00363,0.0013268,0.0013268,0.0013268
19,46.1745,1.3586,0.69201,1.13513,0.98384,0.66667,0.66593,0.44329,1.40217,0.95848,1.34137,0.0012872,0.0012872,0.0012872
20,48.2834,1.4243,0.6864,1.18685,0.9742,0.33333,0.33648,0.21023,2.37581,1.81098,2.89204,0.0012476,0.0012476,0.0012476
21,50.3692,1.37473,0.69451,1.13056,0.9742,0.33333,0.33648,0.21023,4.70439,18.3331,6.42889,0.001208,0.001208,0.001208
22,52.3899,1.409,0.68079,1.16863,0.00158,0.33333,0.00137,0.00081,1.87765,5.2602,2.26607,0.0011684,0.0011684,0.0011684
23,54.3768,1.31949,0.65466,1.10976,0.00649,0.33333,0.00257,0.00152,1.46268,286.252,1.81624,0.0011288,0.0011288,0.0011288
24,56.4213,1.31693,0.6398,1.13909,0.00649,0.33333,0.00257,0.00152,nan,nan,nan,0.0010892,0.0010892,0.0010892
25,58.6436,1.29815,0.61787,1.08986,0.00649,0.33333,0.00257,0.00152,nan,nan,nan,0.0010496,0.0010496,0.0010496
26,60.8216,1.3143,0.64829,1.10559,0.96213,0.33333,0.33544,0.2261,1.83622,2.67839,1.57989,0.00101,0.00101,0.00101
27,62.9901,1.23672,0.60678,1.06778,0.97776,1,0.995,0.74052,1.14041,0.6473,1.05155,0.0009704,0.0009704,0.0009704
28,65.2447,1.38673,0.68086,1.14593,0.9933,1,0.995,0.73389,1.20945,0.54262,1.06888,0.0009308,0.0009308,0.0009308
29,67.4118,1.27502,0.61134,1.10178,0.99335,1,0.995,0.72016,1.23322,0.51849,1.05523,0.0008912,0.0008912,0.0008912
30,69.5612,1.27871,0.59678,1.10376,0.9923,1,0.995,0.70521,1.09248,0.52834,1.03588,0.0008516,0.0008516,0.0008516
31,71.709,1.31056,0.59923,1.10252,0.98696,1,0.995,0.71769,1.00011,0.50113,0.97539,0.000812,0.000812,0.000812
32,73.8556,1.31207,0.63397,1.12697,0.98874,1,0.995,0.69416,1.12977,0.50023,1.01905,0.0007724,0.0007724,0.0007724
33,76.0178,1.20856,0.61007,1.07018,0.98862,1,0.995,0.69494,1.10092,0.51903,1.01452,0.0007328,0.0007328,0.0007328
34,78.1993,1.12723,0.55654,1.0563,0.98702,1,0.995,0.76179,1.0315,0.45464,0.9926,0.0006932,0.0006932,0.0006932
35,80.4107,1.22955,0.56751,1.10097,0.99015,1,0.995,0.7408,1.03988,0.47591,1.01146,0.0006536,0.0006536,0.0006536
36,82.6084,1.24168,0.57092,1.09827,0.99097,1,0.995,0.74999,1.07477,0.47511,1.03533,0.000614,0.000614,0.000614
37,84.7699,1.18835,0.5446,1.0577,0.99108,1,0.995,0.75373,1.1621,0.45741,1.06653,0.0005744,0.0005744,0.0005744
38,86.9204,1.18466,0.56845,1.03994,0.99059,1,0.995,0.73698,1.19548,0.45339,1.07398,0.0005348,0.0005348,0.0005348
39,89.1046,1.15872,0.57094,1.04777,0.98903,1,0.995,0.74138,1.13194,0.43623,1.04997,0.0004952,0.0004952,0.0004952
40,91.2668,1.23542,0.57811,1.07778,0.98999,1,0.995,0.77051,1.08388,0.42767,1.02628,0.0004556,0.0004556,0.0004556
41,95.3244,1.13101,0.51754,1.08237,0.99914,1,0.995,0.73748,1.14226,0.4785,1.04503,0.000416,0.000416,0.000416
42,97.5051,1.12531,0.49989,1.11323,1,0.9926,0.995,0.72406,1.13716,0.52862,1.04503,0.0003764,0.0003764,0.0003764
43,99.6068,1.07001,0.5089,1.08604,1,0.9948,0.995,0.7154,1.13176,0.53429,1.03996,0.0003368,0.0003368,0.0003368
44,101.743,1.07765,0.50589,1.06147,1,0.99698,0.995,0.72435,1.10993,0.5319,1.03587,0.0002972,0.0002972,0.0002972
45,103.857,1.11921,0.5004,1.0897,0.99671,1,0.995,0.68903,1.13526,0.49195,1.03808,0.0002576,0.0002576,0.0002576
46,106.017,1.12293,0.50471,1.07603,0.99187,1,0.995,0.72701,1.16129,0.50407,1.04015,0.000218,0.000218,0.000218
47,108.153,1.04974,0.49379,1.07394,0.99054,1,0.995,0.67586,1.17944,0.46468,1.04558,0.0001784,0.0001784,0.0001784
48,110.257,1.06234,0.48823,1.03688,0.99045,1,0.995,0.67544,1.17074,0.46706,1.04591,0.0001388,0.0001388,0.0001388
49,112.389,1.10278,0.48704,1.11704,0.99074,1,0.995,0.71418,1.15197,0.45421,1.04311,9.92e-05,9.92e-05,9.92e-05
50,114.6,1.0503,0.4868,1.08195,0.99116,1,0.995,0.73311,1.1249,0.46005,1.03323,5.96e-05,5.96e-05,5.96e-05
