epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.29839,2.11269,11.954,1.58312,0.00278,0.83333,0.00422,0.00219,1.87318,15.7098,1.64513,0.00016,0.00016,0.00016
2,10.3374,1.81164,4.72096,1.32739,0.82942,1,0.97214,0.60811,1.34205,6.28127,1.14118,0.000333268,0.000333268,0.000333268
3,12.5188,1.6849,2.66091,1.25034,0.97587,0.83333,0.94167,0.65328,1.27437,4.76498,1.10622,0.000499408,0.000499408,0.000499408
4,14.6912,1.58776,1.71809,1.20943,0.95523,0.83333,0.83987,0.55788,1.32358,5.10391,1.13924,0.00065842,0.00065842,0.00065842
5,16.7467,1.5226,1.50506,1.24601,0.70557,0.5,0.54589,0.34304,1.22403,5.14706,1.0918,0.000810304,0.000810304,0.000810304
6,18.778,1.6482,1.32122,1.28952,0.7056,0.16667,0.20355,0.14835,1.51673,5.47236,1.24143,0.00095506,0.00095506,0.00095506
7,20.8256,1.66516,1.12238,1.24891,1,0.64435,0.68014,0.49288,1.23622,2.52926,1.09584,0.00109269,0.00109269,0.00109269
8,22.8187,1.47851,0.9238,1.17438,1,0.66413,0.80689,0.5224,1.3407,1.85467,1.17624,0.00122319,0.00122319,0.00122319
9,24.8546,1.52279,0.89322,1.17766,0.91527,0.83333,0.83554,0.50116,1.36368,1.68363,1.18663,0.00134656,0.00134656,0.00134656
10,26.8666,1.46486,0.89535,1.18059,0.99706,1,0.995,0.69705,1.13236,0.61527,1.09375,0.0014628,0.0014628,0.0014628
11,28.9626,1.5372,0.96148,1.24832,0.96395,0.83333,0.8542,0.6188,1.1705,1.48465,1.05416,0.00157192,0.00157192,0.00157192
12,30.9954,1.44264,1.1589,1.1352,1,0.99997,0.995,0.67219,1.30044,0.70539,1.124,0.0015644,0.0015644,0.0015644
