epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.69382,2.37541,12.2521,1.52811,0.00663,1,0.02366,0.00843,2.86981,12.5943,1.75324,0.0001,0.0001,0.0001
2,3.07186,2.5688,13.4125,1.64643,0.01001,1,0.03295,0.02571,1.13277,9.17835,1.13685,0.00020911,0.00020911,0.00020911
3,4.6779,1.93761,5.80614,1.22936,0.9239,0.5,0.745,0.5215,1.49949,8.35338,1.19744,0.00030634,0.00030634,0.00030634
4,6.19944,1.74305,3.58576,1.23567,0.95353,1,0.995,0.6965,1.10524,7.11745,1.07038,0.00039169,0.00039169,0.00039169
5,7.65169,1.74902,3.24314,1.20169,0.055,1,0.06633,0.04175,1.48698,13.7123,1.22333,0.00046516,0.00046516,0.00046516
6,9.0143,1.65839,2.51397,1.17277,0.01662,1,0.0201,0.0126,1.34996,31.4575,1.08949,0.00052675,0.00052675,0.00052675
7,10.407,1.53558,2.10896,1.10401,0.01103,1,0.01137,0.0064,1.48878,71.3336,1.19379,0.00057646,0.00057646,0.00057646
8,11.7765,1.64159,1.8332,1.13442,0.01164,1,0.01284,0.0077,1.47541,61.4023,1.32412,0.00061429,0.00061429,0.00061429
9,13.1682,1.59053,1.56781,1.10824,0.01528,1,0.01543,0.00818,1.76436,50.0406,1.35762,0.00064024,0.00064024,0.00064024
10,14.5421,1.56164,1.41274,1.15523,0.02902,1,0.03109,0.01555,1.84984,19.4982,1.33557,0.00065431,0.00065431,0.00065431
11,17.241,1.57835,1.49569,1.2255,0.2813,1,0.33167,0.21554,1.39993,2.4411,1.17513,0.0006565,0.0006565,0.0006565
12,18.7329,1.57617,1.37315,1.17902,0.63895,1,0.66333,0.44758,1.28132,1.61039,1.16587,0.00064681,0.00064681,0.00064681
13,20.1048,1.46247,1.13646,1.19218,0.97482,1,0.995,0.54709,1.48392,1.08534,1.21862,0.00062524,0.00062524,0.00062524
14,21.4692,1.37434,1.12814,1.07999,1,0.97242,0.995,0.597,1.55303,1.70207,1.24314,0.00059179,0.00059179,0.00059179
15,22.808,1.40631,1.20749,1.09285,0.61519,1,0.82833,0.497,1.53931,1.19665,1.24148,0.00054646,0.00054646,0.00054646
16,24.1615,1.30358,1.05063,1.11979,0.81189,1,0.995,0.56063,1.5405,1.11109,1.19381,0.00048925,0.00048925,0.00048925
17,25.5168,1.36507,0.99798,1.125,0.93828,1,0.995,0.60694,1.46204,1.14909,1.15774,0.000416,0.000416,0.000416
18,26.957,1.3448,0.98907,1.13269,0.96218,1,0.995,0.6965,1.29205,0.87949,1.1187,0.000317,0.000317,0.000317
19,28.3841,1.3284,0.94019,1.11446,0.96926,1,0.995,0.6965,1.25554,0.73673,1.11703,0.000218,0.000218,0.000218
20,29.8018,1.3668,0.87581,1.11459,0.97251,1,0.995,0.6965,1.21429,0.70504,1.11237,0.000119,0.000119,0.000119
